State|Year|Page|N_Pages|Text
Illinois|2007|21|64|The inventory and projections document prepared by WRI was originally presented to the full ICCAG in February 2007. At that meeting there were several technical comments and questions from the group reflecting a desire to have more detailed GHG data in each major sector; to see how GHG emissions in Illinois compare with other states; and to better understand how much electricity Illinois exports and how this compares to others states. As a result, WRI prepared three addenda to the emissions inventory that were presented at the April ICCAG meeting. The original inventory document and the three addenda are found in Appendix C.
Illinois|2007|25|64|Electricity generation increased even though no new coal or nuclear capacity was installed over this time span; instead, existing nuclear and coal plants increased their generation of electricity. The significant growth in electricity generation coincided with Illinois’ adoption of utility deregulation in 1997 and the subsequent expansion of Illinois electricity exports. See Figure 6 below. Electricity exports have steadily increased, more than doubling since 1990, with the exception of a clear decrease in 1997-1998. During this time, a portion of Illinois’ nuclear generation capacity was temporarily off-line. This reduced total state electricity generation as well as net electricity exports, but not GHG emissions since some of the lost, zero-emitting nuclear generation was made up by increased coal generation.
Illinois|2007|52|64|Improve passenger and freight rail service and infrastructure. This policy would fully fund and implement both passenger rail upgrades and service restoration throughout the state and the Chicago Region Environmental and Transportation Efficiency Program (CREATE) freight rail improvement program. Passenger rail upgrades would include: allowing for 110 mph high speed rail service between Chicago and St. Louis; increasing ridership on existing Chicago-Downstate rail lines through investments in new equipment, upgrading, and streamlining rail capacity on existing rail lines to reduce trip times between Chicago and Downstate; and restoring service from Chicago to Rockford, the Quad Cities, Decatur, and Peoria.
Illinois|2007|53|64|Require land-use offsets requirements for large changes in land use. This strategy would create a land-use offset requirement, where developers/owners would be required to replace land with high carbon stocks (e.g., forests) that is lost with a comparable high carbon land use elsewhere. It would apply when land is converted from a higher to a lower carbon capacity use and where the development is above a threshold size (e.g., 10 acres), and meets other conditions (to be determined at a later date). A 1.5 to 1.0 offset would be required (e.g., 1.5 acres for every acre lost). The major barrier to this policy is that it requires a new regulatory structure to track development and offset projects on a statewide basis.
Kentucky|2011|105|620|Emissions from the transportation and land use (TLU) sectors include the emissions produced by the operation of light- and heavy-duty (on-road) vehicles, as well as emissions produced by off- road or specialized vehicles, aircraft, rail engines, and marine engines. Emissions accounted for in the TLU sectors include not only the direct emissions from vehicle exhaust, but also the “upstream” emissions associated with the extraction and transportation of raw materials (usually petroleum), as well as the emissions associated with the energy-intensive processes of refining, distributing, and pumping fuel.
Kentucky|2011|275|620|Produce herbaceous energy crops (switchgrass, Indian grass, big bluestem, and Miscanthus giganteus) on underutilized pasture land, abandoned or reclaimed mine land, and abandoned agricultural land. Note: do not plant crops (invasives) that will have a negative impact on Kentucky species. Encourage use of plants that are native or noninvasive, or have passed testing protocols for invasiveness and overall environmental impact. Avoid species that excessively deplete soil or water resources—i.e., plants that are more of a drain on the environment than the energy they produce.
Kentucky|2011|309|620|Develop and implement an effective and efficient data collection system for measuring solid waste generation, reduction, utilization, and disposal. The system should measure and track trends on the magnitude and percentage of solid waste generated, reduced, utilized, and disposed of. To get the most accurate recycling tonnage numbers, recycling organizations, both commercial and government-operated, should register and report directly to KEEC. A fee should be imposed to help cover the costs of inspecting and managing the data. The fee should be based on a tonnage-processed sliding scale.
Kentucky|2011|399|620|The Shale Gas policy is intended to help stimulate increased shale gas production and development in Kentucky. Increased Kentucky production will provide more natural gas supply as an alternative fuel to help reduce overall GHG emissions. Additional production could provide additional severance tax revenues to the state. Additional production could also have some impact on national supply/demand balance, and thus could have some—although probably limited—impact on natural gas prices.
Kentucky|2011|462|620|A number of programs and incentives that have been successful in other jurisdictions could be designed and implemented in Kentucky as part of this policy recommendation.17 Green mortgages roll the costs of energy efficiency or CHP measures into new or refinanced mortgages and allow the amortization of the costs of the efficient equipment to better match future utility bill savings from the equipment. Public benefit funds provide a source of financing for all types of sales rebate programs to “buy down” the incremental costs of CHP and/or energy-efficient equipment. State income tax credits and property tax credits can also provide a source of funding to households and firms to purchase energy efficient equipment and/or CHP. Energy loan programs, financed by state issued bonds, provide low-interest loans and can also reduce the large up front investments associated with energy-efficient equipment and/or CHP. Finally, Property Assessed Clean Energy (PACE) financing programs work through the creation of a public loan fund at the municipal level that is directed solely to financing energy efficiency and/or CHP installations. The repayment of the funds takes place annually along with the building owner’s property tax bill, giving PACE payments the same treatment as taxes for lien priority purposes.18
Massachusetts|2010|33|136|Since air pollution levels are highly sensitive to weather, climate change may significantly affect our overall air quality. For example, ozone is formed in warm weather, so higher summer temperatures may result in increased ozone concentrations in Massachusetts. Climate-driven increases in global and regional wild fires and dust- storms and changes in precipitation may impact PM concentrations in Massachusetts.
Massachusetts|2010|35|136|In addition to eliminating energy waste in buildings, there is a significant opportunity to transition to cleaner energy sources. For example, oil heating can be replaced by solar thermal, sustainable biomass/biofuels, or heat pumps, while electricity supply can be shifted from fossil fuels such as coal and oil to wind and hydro.21
Massachusetts|2010|50|136|Similar to the Solar PV industry in MA prior to its recent exponential growth in the last four years, the small size of the solar thermal market burdens it with high levels of ‖soft‖ costs in sales and marketing (finding customers and designing and installing well-sized systems). This forms a barrier to consumer awareness and competitive pricing in comparison to the dominant market share of fossil fuel-based heating systems. The ‖hard‖ costs of quality equipment are being driven down by global market growth, and so once Massachusetts can develop a significant demand entrepreneurial companies will likely be able to bring turn-key pricing down considerably. Solar thermal systems require a back-up system in the event of a cold and cloudy week in winter, so most customers will retain their pre-existing fossil fuel heating system and new construction will likely move to on-demand electric or much smaller backup fossil fueled boilers.
Massachusetts|2010|96|136|This policy aims to minimize emissions of high Global Warming Potential refrigerants used in stationary non-residential equipment through: facility registration, leak detection and monitoring, leak repair, system retrofit and retirement, required service practices, and record keeping and reporting; and eventual replacement of non-residential refrigeration equipment at the end of its life by equipment using no-GWP or lower GWP substances, where such alternatives are available and practicable. The policy would affect facilities with refrigeration units containing at least 50 pounds of refrigerant, beginning with a voluntary pilot program focused on leak detection and repair.
Massachusetts|2010|124|136|The transportation and buildings sectors are by far the largest end users of energy in Massachusetts. Both scenarios count on considerable gains in building energy efficiency by 2050. These gains go further in the efficiency and conservation scenario, especially for existing houses — more of them are upgraded with energy saving measures and high efficiency mechanical systems. For residential buildings that exist in 2010, the electrification scenario assumes that energy demand per square foot is cut in half by 2050, while in the efficiency and conservation scenario it is cut by two-thirds. Homes that are built between 2010 and 2050 use even less energy, about 50 percent as much per square foot as existing buildings in the efficiency/conservation scenario.
Massachusetts|2015|17|122|A key conclusion that can be drawn from Table 1 is that, to date, the dominant source of emission reductions came from the electric sector. A significant shift from oil and coal to natural gas as a fuel for power generation accounts for a net reduction of approximately 12 MMTCO2e since 1990, as reflected in MassDEP’s GHG inventory.12 Driven in part by energy efficiency investments, electric demand has not grown significantly in recent years, removing load growth as a driver of increased emissions. Emissions from fuel combustion in buildings have also fallen moderately since 1990, largely due to improvements in the efficiency of fuel use and the substitution of natural gas for oil in space heating. Recent year to year variability is largely attributable to weather, as 2012 was a particularly mild year.
Massachusetts|2015|28|122|In addition to improving performance through reducing energy waste in buildings, there is a clear opportunity to transition to cleaner energy sources. Since 1990, there has been a significant economic trend of buildings switching from heating oil to using natural gas. This trend is expected to continue, although it is currently being tempered by a combination of historically low oil prices and natural gas supply constraints in much of the Commonwealth. More recently, the range of economically viable alternative heating options has grown to include cold-climate air- source heat pumps, geo-thermal and solar thermal systems, and clean biomass heating with locally sourced wood pellets or wood chips. These low carbon alternatives to fossil- fuel space and water heating are being supported by the Developing a Mature Market for Renewable Thermal Technologies policy.
Massachusetts|2015|33|122|Tree planting and retention can reduce building heating and cooling loads over the long-term and provide climate mitigation benefits, as well as other benefits such as storm water management. Recognizing the significance of urban tree canopy—each 1% of new tree canopy saves 1–2% in heating and cooling costs—as well as the success of pilot planting efforts in Chelsea, Holyoke, and Fall River, the Baker-Polito Administration has radically expanded the state tree planting program. Over the next three years, the Greening the Gateway Cities Program will fund eleven crews in each planting season, up from three, and more than 27,000 trees will be planted in selected urban neighborhoods in 14 Gateway Cities. The goal of this aggressive planting effort is a 5–10% increase in tree canopy in target neighborhoods as trees reach maturity in 30 years. Because of the slow rate at which trees grow, tree planting and retention provide almost all their GHG emissions reduction beyond 2020. Energy savings and GHG reductions begin about eight years after planting, and increase each year thereafter for decades.
Massachusetts|2015|54|122|The Blue Carbon Calculator is a user-friendly, first-generation tool for calculating GHG emissions from soils resulting from wetlands management restoration activities most typical to Massachusetts.40 The Calculator estimates changes in GHG emissions for two primary categories of restoration activities relevant to Massachusetts wetlands: 1) re-wetting wetlands or restoring wetlands from a drained state (e.g., removal of dams or barriers to restore hydrology); and 2) ‘Wetlands remaining wetlands,’41 or restoration activities occurring on lands that are saturated under both pre-and post-restoration condition, but which may alter GHG emissions on those lands (e.g., conversion of open fresh water to salt (or vice versa)). As additional data and guidance become available, emissions factors for these calculations should be updated.
Massachusetts|2015|106|122|Grid modernization will help make the electric grid more efficient and reliable, and will empower customers to manage and reduce their energy costs. The modern electric system will help maximize the integration of solar, wind, and other local and renewable sources of power. It will minimize outages by automatically re-routing power when lines go down, and immediately alert the utility when customers have lost power. Because customers will have new tools and information to enable them to use less electricity when prices spike, the electric system will be appropriately sized and less expensive.
Maryland|2015|112|188|This program is part of the State’s effort to reduce GHG and other motor vehicle emissions from cars by providing alternatives to single occupant vehicle use. Building appropriate infrastructure for additional bicycle and pedestrian travel in urban areas increases access to and use of public transit and supports the State’s goal of increasing transit ridership.
Maryland|2015|40|188|Climate Change Impact Areas were identified as one of the Local and State Targeted Growth and Conservation Areas that warrant special attention. Climate Change Impact Areas include: projected 50 and 100-year Sea Level Rise Inundation Zones, 50-Year Erosion Vulnerable Zones, Category 2 Storm Surge Inundation Zones, Marsh Transition Zones, Temperature Sensitive Streams, Drought Hazard, and Wildfire Risk Areas. The intent of identifying these areas is to ensure that the State and local governments make wise decisions about how to protect our natural resources, and where and how to develop and redevelop in light of climate change induced hazards and risks. State capital investments consider Climate Impact Areas during the identification of potential sites and the scope of the work associated with the capital investment. Local governments also are educated on how to use the maps and encouraged to utilize them in capital improvement planning.
Maryland|2015|94|188|The U.S. Environmental Protection Agency (EPA) is using the New Source Performance Standard authority under the federal Clean Air Act to promulgate new regulations to reduce GHG emissions from fossil fuel-fired power plants. The performance standards, which are expected to become final in early 2013, will apply to new electric generating units and will be based on existing technologies. EPA is coordinating this action on GHGs with a number of other required regulatory actions for other pollutants, thereby enabling electric generating units to develop multi-pollutant strategies to reduce pollutants in a more efficient and cost-effective way than would be possible by addressing multiple pollutants separately.
Maryland|2015|121|188|In addition to forests, wetlands and marshlands are known to be very efficient at sequestering carbon. Therefore, DNR is planting forested stream buffers and pursuing the creation, protection and restoration of wetlands to promote carbon sequestration through several means, including undertaking on-the-ground wetland restoration projects through its Coastal Wetlands Initiative, the development of a terrestrial carbon sequestration protocol, a DNR Power Plant Research Project wetland study in Dorchester County, and the Sea Level Affecting Marshes Model. The goals of this program are the restoration of 1,142 acres of wetlands on state and public land and planting 645 acres of streamside forest buffers on state and public lands. This program is exceeding the established goals.
Maryland|2015|167|188|The water-energy nexus refers to the connection between how much water is evaporated in energy production and how much energy is used in the human use of water, such as the collecting, cleaning, and moving of water. It is estimated that around 2 gallons of water is evaporated in order to create 1 kilowatt hour of energy. This amounts to around 3,000 to 6,300 gallons of water being evaporated to power one 60W light bulb for one year. This results in water shortages as the energy industry must also compete with other major water consumers, especially the ever- growing agriculture industry. It is also true that a lot of energy is required to use water in all processes. Therefore a way to decrease GHG emissions is to maximize the efficiency of the water-energy nexus. Using less water and less energy continues the cycle in the most efficient way possible. Less water use also means less wastewater to deal with, which produces methane. Some GHG reduction plans have already framed their plans around water mitigation, such as Massachusetts aiming for drinking water and wastewater facilities to reach a 20% GHG reduction goal.
Maine|2004|8|111|One of the more interesting and groundbreaking issues involves the forestry sector, which presents significant opportunities for carbon savings through sequestration. Extensive analysis of data from Federal and State sources, combined with careful exploration of assumptions about, for example, the role of forest soils in the carbon cycle, brought the Working Group to conclude that certain forms of active management already well-understood by the forest industry were capable of producing real carbon savings at very low or negligible cost. The options, voluntary in nature, would improve silviculture to produce more and higher-quality wood as an important co-benefit. It will be important to develop incentives needed to increase markets of this wood. The modeling of the carbon savings and costs suggest the likelihood that, taken together, these options would be close to cost-neutral, and could produce new landowner revenue streams and/or cost savings overtime.Since Maine’s is the first Climate Action Plan in the United States to fully consider the forest carbon cycle and active management options as a significant part of the overall GHG mitigation effort, further research and modeling will be necessary as part of implementation planning.
Maine|2004|36|111|Governors King and Baldacci have used their office to further these goals. In 2003, Governor King formally directed state agencies to pursue the purchase of low emission and more fuel-efficient vehicles. Governor Baldacci, by his March 17, 2004, Executive Order, built on his predecessor’s action, ordering that state agencies:  track state vehicle fleet fuel economy;  track and develop plans to reduce state employee vehicle miles traveled (VMT);  purchase and use cleaner and/or renewable fuels in state vehicles; and  measure the GHG emissions from the state transportation sector.
Maine|2004|51|111|Cap and Trade is a market based policy tool for protecting human health and the environment. A cap and trade program first sets a cap, or maximum limit, on emissions. Sources covered by the program then receive authorizations to emit in the form of emissions allowances, with the total amount of allowances limited by the cap. Each source can design its own compliance strategy to meet the overall reduction requirement, including sale or purchase of allowances, installation of pollution controls, implementation of efficiently measures, among other options. Individual control requirements are not specified under a cap and trade program, but each emissions source must surrender allowances equal to its actual emissions in order to comply. Sources must also completely and accurately measure and report all emissions in a timely manner to guarantee that the overall cap is achieved.
Maine|2004|81|111|The ZEV program was designed to catalyze the commercialization of advanced- technology vehicles that would not have any tailpipe or evaporative emissions. Originally, the ZEV program required that 2 percent of new vehicles produced for sale in1998 and10 percent of new vehicles produced for sale in 2003 would be zero emission vehicles. The automakers convinced the California Air Resources Board (CARB) that they could not meet the 1998 deadline, and full implementation of the program was delayed until 2003. In 2002, automakers sued the state over the program and were granted a preliminary injunction barring its implementation pending a final court ruling. California has adopted a revision to its ZEV program, with the aim of restoring it by 2005.
Maine|2004|88|111|Practices that result in less disruption of the soil or increase organic content through carbon deposition can increase the carbon content (stock) of soil or reduce its rate of loss (flow) to the atmosphere.
Maine|2020|10|124|Reduce light-duty VMT over time, achieving 10% reductions by 2025 and 20% by 2030. Reduce heavy-duty VMT by 4% by 2030. Deploy high-speed broadband to 95% of Maine homes by 2025 and 99% by 2030. By 2024, establish state coordination, strengthen land-use policies, and use state grant programs to encourage development that supports the reduction of VMT. Increase public transportation funding to the national median of $5 per capita by 2024. Relaunch GO Maine to significantly increase shared public commuting options by 2022.
Maine|2020|22|124|Since 1895, Maine’s statewide annual temperatures have risen by 3.2°F (1.8°C), with coastal areas warming more than the interior of the state. Of all the seasons, winters in Maine have warmed the most, which has caused Maine’s agricultural growing season to increase by two weeks. Extreme weather conditions in Maine, such as drought and large rain events, are harming agriculture, shellfisheries, and freshwater and coastal ecosystems susceptible to climate change effects.
Maine|2020|31|124|The analysis showed that if Maine continues on a “business as usual” path, emissions will slowly decline through 2030 and then flatten out in later years. Under that scenario, our 2050 emissions will be 13.8 million metric tons, which is 9.6 million metric tons greater than our 2050 target. In this scenario, transportation accounts for 41% of emissions in 2050 and remains Maine’s largest emissions source.
Maine|2020|75|124|Financial incentives and technical assistance are required to support foresters, landowners, loggers, farmers, fishermen, and communities to reduce emissions, increase their resilience to climate change, and implement enhanced opportunities for carbon-storage initiatives.
Maine|2020|98|124|Creative and diverse means of communication should also be employed to promote state climate programs, incentives, and opportunities. Partnerships with business groups, nonprofits, tribal governments, municipalities, and community groups will help spread key messages. Multiple forms of communication, consumer education, and ongoing efforts will be necessary to support the state’s goals.
Michigan|2009|13|125|The national program should encourage rapid technology development and deployment through the adoption of technology supporting and inducing policies. Cost efficiency and co-benefits should also be considered in achieving reductions of GHG emissions to assure that the timing of reductions coincides with the successful commercialization of emerging technologies. Major reductions from certain sectors may most effectively be accomplished if based on aggressive yet appropriate lead times that allow the necessary infrastructure to be put in place. Examples include carbon sequestration, low-carbon fuels, and commercial viability of high-density energy storage systems.
Michigan|2009|40|125|Emissions associated with electricity consumption are projected to be the largest contributor to future GHG emissions growth, followed by emissions associated with the transportation sector. Other sources of emissions growth include the RCI fuel use sector and the increasing use of HFCs and PFCs as substitutes for ozone-depleting substances in refrigeration, air conditioning, and other applications. The agriculture sector is the only sector in which emissions are projected to decrease from 2005 to 2025. Figure 1-3 depicts the 2005 distribution of sources in Michigan compared to the US.
Michigan|2009|64|125|The forecast of biomass in the draft inventory and forecast used EIA regional projections, which show big increases in biomass generation in the forecast years. The EIA regional projections could be influenced by the existing renewable portfolio standard (RPS) in other states of the region. The electricity generation from biomass has been flat over the past 10 years or so in Michigan, about 1% of the total generation of the state. Biomass generation would be unlikely to significantly increase in Michigan in the forecast years unless there are strong policy regulations, such as an RPS. Therefore, in this report, for the business-as-usual condition in the forecast years, we assumed the same generation capacity from biomass as the existing capacity indicates (an average level of 2001–2005).
Michigan|2009|78|125|The MCAC encourages national action in the implementation of a cap and trade program for the regulation of greenhouse gas emissions. In lieu of national action, or in advance of future action, Michigan should continue to participate in and encourage the development of the Midwestern Accord program. Michigan should not seek to create its own one-state cap and trade program. It is recommended that the program have the broadest possible sector coverage as soon as possible to include the maximum possible number of low cost mitigation and sequestration options. The MCAC does not make a specific recommendation on the method by which allowances are initially distributed (free granting, auction, both, etc.), but regardless of distribution method, the MCAC agrees that the value represented by the allowance should benefit the residents of Michigan.
Michigan|2009|107|125|Enhanced management of the state’s forests can lead to higher levels of carbon sequestration. These enhancements can be achieved through afforestation projects and enhanced stocking in existing forests. Conversion of land to development results in a loss of current and future carbon sequestration potential. Slowing or stemming conversion rates provides opportunities for carbon sequestration. In the waste management sector, waste reduction measures and landfill gas capture and utilization can reduce landfill CH4 emissions.
Minnesota|2015|7|44|Partner across interest groups focused on issues such as air quality, water quality, wildlife protection, as well as climate change to move policies forward . There is much opportunity to do this as climate policies include significant co-benefits for public health, the environment, and the economy.
Minnesota|2015|9|44|There are many pathways to reach 80% greenhouse gas reductions by 2050. One vision for doing so is to make the electric grid nearly carbon free through renewable energy and energy efficiency. Other energy needs could then move from directly burning fossil fuels in vehicles, homes, and industries to using clean, renewably generated electric power. For instance, cars, buses, and trains could be powered by electricity and electric-charged batteries. Heating in homes and industry could switch from directly burning fuels like propane and natural gas to using electric power or fuel from biomass.
Minnesota|2015|23|44|Analysis shows that a 50% Renewable Electricity Standard (RES) alone would reduce more than a quarter of the emissions needed to be on target in the year 2030. This emissions reduction is the largest for any policy analyzed. Analysis also projected that this could create on average 1,500 new jobs annually in the state. Since the analysis was done, several new renewable energy projects have been proposed that, if built, would potentially increase renewable generation to levels over 30% and potentially closer to 40% of the electricity mix. Some of these changes are pending in the Integrated Resource Planning processes. A 50% RES could move the state beyond these projects and create more certainty in increasing use of renewables.
Minnesota|2015|28|44|The best opportunity for achieving energy efficiency at wastewater facilities comes from replacing old aeration equipment with new, more efficient equipment. Aeration equipment typically accounts for half the energy usage at mechanical facilities and nearly all of the energy consumption for aerated lagoon facilities . Replacement of older aeration blowers with new high-efficiency blowers can reduce energy consumption for aeration by 50% or more.
Minnesota|2015|38|44|While cover crops work well for short season sweet corn, edible beans, and other “canning” vegetables, market, logistical, technical, financial, and agronomic barriers exist that prevent widespread adoption of cover crop use in corn and soybean systems. Pilot programs could help reduce these barriers by developing and testing new cover crop varieties and seeding equipment, demonstrating on-farm successes, and quantifying on-farm economic benefits.
Montana|2020|15|73|Build on and complement the climate adaptation work already happening on tribal lands throughout the state, while recognizing the leadership that Montana’s sovereign tribal nations provide and learning from traditional and indigenous knowledge.
Montana|2020|17|73|Expand the use of nature-based solutions that use natural systems, mimic natural processes, or work in tandem with traditional approaches to address natural hazards such as flooding, erosion, drought, and heat. Incorporating these nature-based solutions in local planning, zoning, regulations, and built projects can help communities reduce their exposure to these climate impacts, resulting in reduced costs, economic enhancement, and safer, more-resilient communities. Examples include urban park development, beaver mimicry, and wetland and riparian restoration.
Montana|2020|41|73|The current system size cap for small-scale generation interconnecting to the grid is restrictive for entities like commercial buildings, schools, libraries, and private businesses. The cap involves what is known as net metering – a billing mechanism that credits solar energy system owners for the electricity they add to the grid. The current cap of 50 kilowatts (kW) was passed in 1999 and has not been updated since. Meanwhile, solar technology has become more efficient and less costly. Increasing the allowable system size will allow users to meet more of their energy needs with solar, wind, micro-hydro, and other eligible technologies.
Montana|2020|57|73|With either a federal or regional approach, Montana should consider both the mechanism for pricing carbon (e.g., fee vs. cap), the efficacy of reducing carbon emissions, and how revenues generated from carbon pricing will be invested back into the economy (e.g., through investments such as innovative  energy technology, energy efficiency, job training, and building community climate resilience) and used to mitigate the economic impacts on low-income residents.
Montana|2020|64|73|Electrifying Montana’s economy and eliminating emissions from the electricity sector requires continual advancement in short-term and seasonal energy storage at both distributed and utility scales. By some estimates, the global market for energy storage systems is expected to grow 13-fold from current levels by 2024.59 Designing and deploying these technologies in Montana will help meet the state’s climate goals and offers significant opportunity to grow and establish new businesses. The large industrial proposal from Mitsubishi Hitachi also represents a significant opportunity to develop new skills and job markets for Montana labor.
North Carolina|2008|27|118|Consumption of electricity is growing faster in North Carolina than population. In addition, there appears to be a trend toward an increasing reliance on natural gas and imported electricity. Vehicle-miles traveled (VMT) are also projected to grow faster than the state’s population. Freight traffic (resulting in increased diesel consumption) and increasing use of hydrofluorocarbons (HFCs) and perfluorocarbons (PFCs) as substitutes for ozone-depleting substances (ODS) in refrigeration, air conditioning, and other applications is also increasing more rapidly than population.
North Carolina|2008|34|118|In contrast, automobile manufacturers estimate that the California standards would cost around $3,000 per vehicle, and calculated that savings on fuel would offset less than half of that cost for consumers. A review of the literature and assumptions used to derive the different estimates gives a range of cost-effectiveness values of –$38 to –$117 per ton of CO2e reduced. That is, for each ton reduced, between $38 and $117 would be saved. More than ten other states have adopted the California standards and, among other factors that support the use of a savings estimate toward the higher end of the range, manufacturers should realize economies-of-scale that would lower manufacturing costs as additional states adopt and implement the standards. Although we believe that savings are likely to be higher than the –$38 per ton end of the range, we use a cost-effectiveness of –$38 per ton of CO2e reduced in our calculations in an effort to be conservative.
North Carolina|2008|66|118|Encourage and enable smaller purchasers to act in aggregate groups to reduce costs and quantify emission reduction benefits from technology and process improvements. This could include, for example, setting up programs to organize consumers and to work with them to provide information resources to evaluate and take advantage of savings emissions reduction opportunities.
North Carolina|2008|71|118|The CAPAG recommends that State facilities purchase energy through NC GreenPower or a similar green power provider to cover 20% of their power needs by 2018, over and above the requirements of renewable generation within an Environmental Portfolio Standard or similar requirement applying to electricity suppliers. This target would be phased in starting in 2008. Additionally, for bulk purchases, the CAPAG recommends a program to address purchases of 10% of electricity-consuming equipment purchased annually by state agencies, and 1% of electricity-consuming equipment purchased annually by all commercial/institutional sector consumers. Devices purchased under the energy efficiency bulk purchase program would have a target consumption of 20% less electricity, on average, than devices that would otherwise have been purchased.
North Carolina|2008|106|118|North Carolina has lost, on average, 61,390 acres of productive forest each year over the last 30 years to development and to a lack of post-harvest regeneration. This amounts to a loss of about 10% of the state’s forestland since 1974, or an annually compounded loss of about 0.36%. The goal of this option is to reduce the rate of conversion of forestlands to non-forest lands by 10% by 2010 and 25% by 2020. When converted to developed areas, these areas contain lower amounts of biomass and its associated carbon. These areas also sequester less CO2 than forested areas. When landowners don’t have the incentive to retain their ownership, they often sell not only for development but they also sell for a forested tract as smaller parcels which may then be too small to allow forest management to be practical. On tracts too small and fragmented to be managed, the goals of AFW 9&10 cannot be achieved.
North Carolina|2019|20|146|In the wake of continuing declining costs of renewable generation and battery storage options, NC regulators and policy makers will be called upon to evaluate the economic viability of traditional infrastructure projects whose costs will be borne by ratepayers for years to come. As NC makes capital investment decisions for future capacity additions, it will be important to select the cost-effective system that maintains affordability, reliability, equity, grid efficiency, and economic viability. In just the past year, many states and utilities have made groundbreaking announcements, some of which are highlighted below.
North Carolina|2019|24|146|The Intergovernmental Panel on Climate Change’s (IPCC) special report on the impacts of global warming of 1.5 °C above pre-industrial levels calls for reaching net zero CO2 emissions globally around 2050 and concurrent deep reductions in emissions of non- CO2 forcers, particularly methane.15F16 In the "Systems Transitions" chapter, the IPCC notes that new natural gas power generation should be deployed in tandem with carbon sequestering technologies. Similarly, the U.S. Fourth National Climate Assessment calls for “replacing conventional, CO2-emitting fossil fuel energy technologies or systems with low- or zero-emissions ones (such as wind, solar, nuclear, biofuels, fossil energy with carbon capture and storage, and energy efficiency measures), as well as changing technologies and practices in order to lower emissions of other GHGs such as methane, nitrous oxide, and hydrofluorocarbons.”
North Carolina|2019|69|146|Shifting to a more performance-based regulatory framework will require some extent of flexibility. Depending on the outputs that result from the investigatory process described in the prior recommendation, pilot programs and phased approaches to policy implementation provide opportunities to test and refine specific regulatory mechanisms, such as performance incentive mechanisms and new procurement practices. In order to be adaptive, there should be processes for evaluation built in to ensure new mechanisms are working as intended. Performance metrics that measure and track utility data for certain outcomes are a key, no-regrets tool to ensure that utility performance is improving after implementing a given regulatory change. For example, testing a shared savings mechanism before full- scale implementation will provide an opportunity to ensure that the savings retained by the utility and given to customers are well-balanced. Alternatively, using a phased approach to the development of new performance incentive mechanisms could result in better informed targets and incentive levels that don’t under- or over-compensate the utility.
North Carolina|2019|100|146|Different options for increasing the amount of clean, zero-emitting generation on the grid were discussed by stakeholders in the Clean Energy Plan process. One option is to simply increase and extend the current REPS policy by adding targets for 2030 and 2050, maintaining the current resource carve-outs or establishing additional resource carve-outs. Another option is to allow the REPS to coexist alongside a new policy that would require a certain percentage of generation to come from zero-emitting resources by 2030 and 2050, without any carve-outs for specific technologies. The latter would allow all zero-emitting generation resources to compete to be the preferred option for meeting the target.
North Carolina|2019|138|146|Not only can rate design help encourage the off-peak charging of vehicles, it can impact the economics of driving an EV as compared to a gasoline-powered vehicle. This is particularly true for charging stations located at commercial sites, such as workplaces, shopping centers, truck stops, etc. The typical rate design structure that utilities use for these kinds of customers can be a major inhibitor to the adoption and usage of charging infrastructure. Utilities are beginning to experiment with new structures that will recover costs from charging stations in a way that is more advantageous to the economics of EV charging.
New Hampshire|2009|19|82|As a small state, New Hampshire is responsible for only a minor fraction of emissions contributing to global climate change. However, the actions identified in this plan will enable New Hampshire to continue to do its part to reduce emissions of greenhouse gases and prepare for a changing climate, es- pecially when these actions are aggregated with the actions of its neighbors in the New England5. These actions, in turn, will benefit the economy, increase state and regional energy security, and improve environmental quality. Taking action now in the areas of energy efficiency, renewable energy, and more efficient transportation will provide New Hampshire with a competitive advantage as energy resources become even more costly in the future.
New Hampshire|2009|22|82|The emissions originating from the building sector, which includes direct energy consumption in residential, commer- cial, and industrial space, grew more slowly. Building related emissions grew by nearly 32 percent from 1990 to 2005 and these emissions accounted for 29 percent of New Hampshire’s total emissions in 2005. The leading cause of this increase was due to a significant expansion in the use of natural gas which increased from 14 billion cubic feet in 1990 to 25 billion cubic feet in 2005.
New Hampshire|2009|36|82|New Hampshire’s current response to winter storm events could provide a model for coordinating state-wide efforts to extreme weather events (e.g., flooding, hurricanes) that are projected to increase in the future. The development of more extensive projections of extreme weather (e.g., frequency, magnitude) can be provided to decision-makers to facilitate integrated planning and coordination of event response by state and local entities. This development would include the communication channels over which event forecasts could be disseminated to state and local authorities and to the public to enhance preparation in advance of storms.
New Hampshire|2009|53|82|Support more stringent, near-term Corporate Average Fuel Economy (CAFE) standards for all passenger vehicles and light trucks up to 10,000 lbs. gross vehicle weight rating (GVWR). CAFE is the sales-weighted average fuel economy, in miles per gallon, of a manufacturer’s light-duty vehicles and light-duty trucks. Current standards apply to vehicles manufactured for sale in the United States with a GVWR of 8,500 lbs. or less. The higher limit would allow for inclusion of large sport utility vehicles and pick up trucks in these standards. In addition, the state should support the adoption of CAFE standards for vehicles greater than 10,000 lbs. GVWR in the near term. New standards recently proposed by the National Highway Traffic Safety Administration (NHTSA)2 would raise the required cor- porate average to 35 mpg by model year 2020, up from the current 27.5 mpg for light cars and 22.2 mpg for light trucks. Existing analyses indicate that higher fuel economy is achiev- able with currently available technology and that significant improvements could be made by model year 2015.
